,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
2147,6.0,Fri,2015-09-25,20:30,Valencia,1–0,Granada,41124.0,Estadio de Mestalla,Carlos Clos Gómez,,
2148,6.0,Sat,2015-09-26,16:00,Barcelona,2–1,Las Palmas,74196.0,Camp Nou,Ricardo de Burgos,,
2149,6.0,Sat,2015-09-26,18:15,Real Madrid,0–0,Málaga,75361.0,Estadio Santiago Bernabéu,José González,,
2150,6.0,Sat,2015-09-26,20:30,Sevilla,3–2,Rayo Vallecano,33709.0,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,,
2151,6.0,Sat,2015-09-26,20:30,Villarreal,1–0,Atlético Madrid,20087.0,Estadio de la Cerámica,David Fernández,,
2152,6.0,Sat,2015-09-26,22:00,Eibar,1–1,Celta Vigo,4880.0,Estadio Municipal de Ipurúa,Pedro Pérez,,
2153,6.0,Sun,2015-09-27,12:00,Sporting Gijón,1–2,Betis,23250.0,Estadio Municipal El Molinón,Juan Martínez,,
2154,6.0,Sun,2015-09-27,16:00,La Coruña,3–0,Espanyol,21753.0,Estadio Municipal de Riazor,José Sánchez,,
2155,6.0,Sun,2015-09-27,18:15,Getafe,3–0,Levante,5934.0,Coliseum Alfonso Pérez,Santiago Jaime,,
2156,6.0,Sun,2015-09-27,20:30,Real Sociedad,0–0,Athletic Club,26310.0,Estadio Municipal de Anoeta,Carlos Velasco,,
2158,7.0,Fri,2015-10-02,20:30,Celta Vigo,0–0,Getafe,18154.0,Estadio de Balaídos,Eduardo Prieto,,
2159,7.0,Sat,2015-10-03,16:00,Sevilla,2–1,Barcelona,39374.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil,,
2160,7.0,Sat,2015-10-03,18:15,Granada,1–1,La Coruña,14168.0,Estadio Nuevo Los Cármenes,Iñaki Bikandi,,
2161,7.0,Sat,2015-10-03,20:30,Espanyol,1–2,Sporting Gijón,16947.0,RCDE Stadium,Carlos Clos Gómez,,
2162,7.0,Sat,2015-10-03,21:00,Las Palmas,0–2,Eibar,18577.0,Estadio de Gran Canaria,Antonio Matéu Lahoz,,
2163,7.0,Sat,2015-10-03,22:05,Málaga,3–1,Real Sociedad,17175.0,Estadio La Rosaleda,Carlos del Cerro,,
2164,7.0,Sun,2015-10-04,12:00,Rayo Vallecano,0–2,Betis,11820.0,Estadio del Rayo Vallecano,Ignacio Iglesias,,
2165,7.0,Sun,2015-10-04,16:00,Athletic Club,3–1,Valencia,41412.0,San Mamés,Javier Estrada,,
2166,7.0,Sun,2015-10-04,18:15,Levante,1–0,Villarreal,20038.0,Estadio Ciudad de Valencia,Alfonso Álvarez,,
2167,7.0,Sun,2015-10-04,20:30,Atlético Madrid,1–1,Real Madrid,53079.0,Estadio Vicente Calderón,Alberto Undiano,,
2169,8.0,Sat,2015-10-17,16:00,Real Madrid,3–0,Levante,74779.0,Estadio Santiago Bernabéu,José Sánchez,,
2170,8.0,Sat,2015-10-17,18:15,Eibar,1–1,Sevilla,5568.0,Estadio Municipal de Ipurúa,Juan Martínez,,
