,_date_,_time_,comp,round,_day_,venue,_result_,gf,ga,opponent,goals,shots,shots_on_target,shots_on_target_percent,goals_per_shot,goals_per_shot_on_target,distance,free_kicks,penalty_kicks,penalty_kicks_attempt,xg,nonpenalty_xg,nonpenalty_xg_per_shot,goals_minus_xg,nonpenalty_goals_minus_xg,team
1889,2021-01-29,21:00,La Liga,Matchweek 21,Fri,Away,W,3,1,Valladolid,3.0,11.0,5.0,45.5,0.27,0.6,16.3,0.0,0.0,0.0,1.0,1.0,0.09,2.0,2.0,Huesca
1890,2021-02-06,16:15,La Liga,Matchweek 22,Sat,Home,L,1,2,Real Madrid,1.0,12.0,2.0,16.7,0.08,0.5,17.0,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Huesca
1891,2021-02-13,16:15,La Liga,Matchweek 23,Sat,Away,L,0,1,Sevilla,0.0,9.0,5.0,55.6,0.0,0.0,18.3,0.0,0.0,0.0,0.9,0.9,0.11,-0.9,-0.9,Huesca
1892,2021-02-21,18:30,La Liga,Matchweek 24,Sun,Home,W,3,2,Granada,2.0,14.0,6.0,42.9,0.14,0.33,16.7,0.0,0.0,1.0,2.1,1.4,0.1,-0.1,0.6,Huesca
1893,2021-02-27,14:00,La Liga,Matchweek 25,Sat,Away,D,1,1,Eibar,1.0,4.0,1.0,25.0,0.25,1.0,24.4,0.0,0.0,0.0,0.5,0.5,0.12,0.5,0.5,Huesca
1894,2021-03-07,14:00,La Liga,Matchweek 26,Sun,Home,L,3,4,Celta Vigo,3.0,19.0,5.0,26.3,0.16,0.6,15.1,2.0,0.0,0.0,1.9,1.9,0.11,1.1,1.1,Huesca
1895,2021-03-15,21:00,La Liga,Matchweek 27,Mon,Away,L,1,4,Barcelona,1.0,7.0,3.0,42.9,0.0,0.0,14.8,0.0,1.0,1.0,2.1,1.3,0.18,-1.1,-1.3,Huesca
1896,2021-03-20,18:30,La Liga,Matchweek 28,Sat,Home,D,0,0,Osasuna,0.0,15.0,3.0,20.0,0.0,0.0,18.2,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,Huesca
1897,2021-04-02,21:00,La Liga,Matchweek 29,Fri,Away,W,2,0,Levante,2.0,6.0,2.0,33.3,0.33,1.0,16.8,0.0,0.0,0.0,0.8,0.8,0.14,1.2,1.2,Huesca
1898,2021-04-09,21:00,La Liga,Matchweek 30,Fri,Home,W,3,1,Elche,3.0,7.0,4.0,57.1,0.29,0.5,19.3,1.0,1.0,1.0,1.2,0.4,0.06,1.8,1.6,Huesca
1899,2021-04-18,16:15,La Liga,Matchweek 33,Sun,Away,L,0,1,Alavés,0.0,10.0,2.0,20.0,0.0,0.0,17.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Huesca
1900,2021-04-22,19:00,La Liga,Matchweek 31,Thu,Away,L,0,2,Atlético Madrid,0.0,5.0,2.0,40.0,0.0,0.0,10.6,1.0,0.0,0.0,0.8,0.8,0.18,-0.8,-0.8,Huesca
1901,2021-04-25,14:00,La Liga,Matchweek 32,Sun,Home,L,0,2,Getafe,0.0,9.0,1.0,11.1,0.0,0.0,15.8,0.0,0.0,0.0,0.8,0.8,0.09,-0.8,-0.8,Huesca
1902,2021-05-01,18:30,La Liga,Matchweek 34,Sat,Home,W,1,0,Real Sociedad,0.0,8.0,2.0,25.0,0.0,0.0,17.2,0.0,0.0,0.0,0.5,0.5,0.06,-0.5,-0.5,Huesca
1903,2021-05-08,18:30,La Liga,Matchweek 35,Sat,Away,L,1,2,Cádiz,1.0,13.0,4.0,30.8,0.08,0.25,19.2,1.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,Huesca
1904,2021-05-12,20:00,La Liga,Matchweek 36,Wed,Home,W,1,0,Athletic Club,1.0,19.0,6.0,31.6,0.05,0.17,24.0,1.0,0.0,0.0,1.3,1.3,0.07,-0.3,-0.3,Huesca
1905,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Away,L,0,1,Betis,0.0,6.0,0.0,0.0,0.0,,23.8,1.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,Huesca
1906,2021-05-22,18:00,La Liga,Matchweek 38,Sat,Home,D,0,0,Valencia,0.0,22.0,9.0,40.9,0.0,0.0,19.5,2.0,0.0,0.0,1.0,1.0,0.05,-1.0,-1.0,Huesca
1907,2020-09-13,14:00,La Liga,Matchweek 1,Sun,Home,L,0,1,Betis,0.0,6.0,2.0,33.3,0.0,0.0,11.1,0.0,0.0,0.0,1.0,1.0,0.19,-1.0,-1.0,Alaves
1908,2020-09-20,18:30,La Liga,Matchweek 2,Sun,Away,L,1,2,Granada,1.0,5.0,3.0,60.0,0.2,0.33,18.4,1.0,0.0,0.0,0.6,0.6,0.11,0.4,0.4,Alaves
1909,2020-09-26,13:00,La Liga,Matchweek 3,Sat,Home,D,0,0,Getafe,0.0,9.0,0.0,0.0,0.0,,17.1,1.0,0.0,0.0,1.4,1.4,0.16,-1.4,-1.4,Alaves
1910,2020-09-30,19:00,La Liga,Matchweek 4,Wed,Away,L,1,3,Villarreal,1.0,8.0,3.0,37.5,0.13,0.33,16.3,0.0,0.0,0.0,1.5,1.5,0.18,-0.5,-0.5,Alaves
1911,2020-10-04,14:00,La Liga,Matchweek 5,Sun,Home,W,1,0,Athletic Club,1.0,8.0,4.0,50.0,0.13,0.25,16.7,0.0,0.0,0.0,0.6,0.6,0.08,0.4,0.4,Alaves
1912,2020-10-18,18:30,La Liga,Matchweek 6,Sun,Home,L,0,2,Elche,0.0,14.0,2.0,14.3,0.0,0.0,20.4,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,Alaves
1913,2020-10-25,14:00,La Liga,Matchweek 7,Sun,Away,W,2,0,Valladolid,2.0,13.0,3.0,23.1,0.15,0.67,14.3,0.0,0.0,1.0,2.6,1.8,0.15,-0.6,0.2,Alaves
1914,2020-10-31,21:00,La Liga,Matchweek 8,Sat,Home,D,1,1,Barcelona,1.0,4.0,3.0,75.0,0.25,0.33,16.9,1.0,0.0,0.0,1.1,1.1,0.28,-0.1,-0.1,Alaves
1915,2020-11-08,18:30,La Liga,Matchweek 9,Sun,Away,D,1,1,Levante,1.0,6.0,2.0,33.3,0.17,0.5,14.8,0.0,0.0,0.0,0.8,0.8,0.14,0.2,0.2,Alaves
1916,2020-11-22,21:00,La Liga,Matchweek 10,Sun,Home,D,2,2,Valencia,2.0,12.0,2.0,16.7,0.08,0.5,17.5,0.0,1.0,1.0,1.6,0.9,0.07,0.4,0.1,Alaves
1917,2020-11-28,21:00,La Liga,Matchweek 11,Sat,Away,W,2,1,Real Madrid,2.0,10.0,5.0,50.0,0.1,0.2,19.3,0.0,1.0,1.0,2.3,1.6,0.17,-0.3,-0.6,Alaves
1918,2020-12-06,21:00,La Liga,Matchweek 12,Sun,Home,D,0,0,Real Sociedad,0.0,5.0,1.0,20.0,0.0,0.0,15.5,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Alaves
1919,2020-12-12,18:30,La Liga,Matchweek 13,Sat,Away,L,0,1,Huesca,0.0,3.0,1.0,33.3,0.0,0.0,13.4,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2,Alaves
1921,2020-12-20,14:00,La Liga,Matchweek 14,Sun,Away,L,0,2,Celta Vigo,0.0,8.0,2.0,25.0,0.0,0.0,16.2,0.0,0.0,0.0,0.6,0.6,0.07,-0.6,-0.6,Alaves
1922,2020-12-23,22:00,La Liga,Matchweek 15,Wed,Home,W,2,1,Eibar,2.0,13.0,3.0,23.1,0.15,0.67,16.5,0.0,0.0,0.0,2.3,2.3,0.18,-0.3,-0.3,Alaves
1923,2020-12-31,16:15,La Liga,Matchweek 16,Thu,Away,D,1,1,Osasuna,1.0,14.0,0.0,0.0,0.0,,20.5,1.0,1.0,1.0,1.6,0.9,0.07,-0.6,-0.9,Alaves
1924,2021-01-03,16:15,La Liga,Matchweek 17,Sun,Home,L,1,2,Atlético Madrid,0.0,4.0,1.0,25.0,0.0,0.0,13.8,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Alaves
1926,2021-01-10,16:15,La Liga,Matchweek 18,Sun,Away,L,1,3,Cádiz,1.0,4.0,1.0,25.0,0.0,0.0,30.9,0.0,1.0,1.0,0.9,0.2,0.04,0.1,-0.2,Alaves
1928,2021-01-19,21:30,La Liga,Matchweek 19,Tue,Home,L,1,2,Sevilla,1.0,11.0,2.0,18.2,0.09,0.5,16.6,0.0,0.0,1.0,1.4,0.7,0.06,-0.4,0.3,Alaves
1929,2021-01-23,21:00,La Liga,Matchweek 20,Sat,Home,L,1,4,Real Madrid,1.0,13.0,5.0,38.5,0.08,0.2,16.4,0.0,0.0,0.0,0.7,0.7,0.06,0.3,0.3,Alaves
1930,2021-01-31,14:00,La Liga,Matchweek 21,Sun,Away,D,0,0,Getafe,0.0,5.0,1.0,20.0,0.0,0.0,30.5,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Alaves
1931,2021-02-05,21:00,La Liga,Matchweek 22,Fri,Home,W,1,0,Valladolid,1.0,19.0,5.0,26.3,0.05,0.2,17.0,3.0,0.0,0.0,1.5,1.5,0.08,-0.5,-0.5,Alaves
1932,2021-02-13,21:00,La Liga,Matchweek 23,Sat,Away,L,1,5,Barcelona,1.0,6.0,2.0,33.3,0.17,0.5,15.7,0.0,0.0,0.0,0.6,0.6,0.1,0.4,0.4,Alaves
1933,2021-02-21,16:15,La Liga,Matchweek 24,Sun,Away,L,0,4,Real Sociedad,0.0,7.0,2.0,28.6,0.0,0.0,13.8,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,Alaves
1934,2021-02-27,18:30,La Liga,Matchweek 25,Sat,Home,L,0,1,Osasuna,0.0,4.0,1.0,25.0,0.0,0.0,19.0,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,Alaves
1935,2021-03-08,21:00,La Liga,Matchweek 26,Mon,Away,L,2,3,Betis,2.0,4.0,3.0,75.0,0.5,0.67,15.3,1.0,0.0,0.0,0.4,0.4,0.1,1.6,1.6,Alaves
1936,2021-03-13,14:00,La Liga,Matchweek 27,Sat,Home,D,1,1,Cádiz,1.0,8.0,1.0,12.5,0.0,0.0,20.5,0.0,1.0,1.0,1.3,0.5,0.07,-0.3,-0.5,Alaves
1937,2021-03-21,18:30,La Liga,Matchweek 28,Sun,Away,L,0,1,Atlético Madrid,0.0,8.0,2.0,25.0,0.0,0.0,20.8,0.0,0.0,1.0,1.2,0.4,0.06,-1.2,-0.4,Alaves
1938,2021-04-04,14:00,La Liga,Matchweek 29,Sun,Home,L,1,3,Celta Vigo,1.0,17.0,8.0,47.1,0.06,0.13,15.1,1.0,0.0,0.0,1.8,1.8,0.12,-0.8,-0.8,Alaves
1939,2021-04-10,16:15,La Liga,Matchweek 30,Sat,Away,D,0,0,Athletic Club,0.0,9.0,1.0,11.1,0.0,0.0,16.0,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Alaves
1940,2021-04-18,16:15,La Liga,Matchweek 33,Sun,Home,W,1,0,Huesca,1.0,10.0,2.0,20.0,0.1,0.5,17.0,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,Alaves
1941,2021-04-21,21:00,La Liga,Matchweek 31,Wed,Home,W,2,1,Villarreal,2.0,9.0,4.0,44.4,0.22,0.5,14.7,0.0,0.0,0.0,1.6,1.6,0.19,0.4,0.4,Alaves
1942,2021-04-24,18:30,La Liga,Matchweek 32,Sat,Away,D,1,1,Valencia,1.0,6.0,2.0,33.3,0.17,0.5,12.2,0.0,0.0,0.0,1.2,1.2,0.2,-0.2,-0.2,Alaves
1943,2021-05-01,14:00,La Liga,Matchweek 34,Sat,Away,L,0,3,Eibar,0.0,6.0,2.0,33.3,0.0,0.0,18.4,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Alaves
1944,2021-05-08,14:00,La Liga,Matchweek 35,Sat,Home,D,2,2,Levante,2.0,15.0,5.0,33.3,0.13,0.4,16.6,1.0,0.0,0.0,1.6,1.6,0.11,0.4,0.4,Alaves
1945,2021-05-11,20:00,La Liga,Matchweek 36,Tue,Away,W,2,0,Elche,2.0,9.0,2.0,22.2,0.22,1.0,14.7,1.0,0.0,0.0,1.8,1.8,0.21,0.2,0.2,Alaves
1946,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Home,W,4,2,Granada,4.0,14.0,9.0,64.3,0.29,0.44,11.1,0.0,0.0,0.0,2.9,2.9,0.22,1.1,1.1,Alaves
1947,2021-05-23,21:00,La Liga,Matchweek 38,Sun,Away,L,0,1,Sevilla,0.0,11.0,2.0,18.2,0.0,0.0,18.5,0.0,0.0,0.0,1.2,1.2,0.12,-1.2,-1.2,Alaves
1948,2020-09-13,16:00,La Liga,Matchweek 1,Sun,Home,D,1,1,Real Sociedad,1.0,8.0,2.0,25.0,0.13,0.5,12.9,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,Valladolid
1949,2020-09-20,18:30,La Liga,Matchweek 2,Sun,Away,L,0,2,Betis,0.0,9.0,2.0,22.2,0.0,0.0,18.8,1.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Valladolid
1950,2020-09-27,18:30,La Liga,Matchweek 3,Sun,Home,D,1,1,Celta Vigo,1.0,9.0,3.0,33.3,0.0,0.0,19.2,2.0,1.0,1.0,1.5,0.7,0.08,-0.5,-0.7,Valladolid
1951,2020-09-30,21:30,La Liga,Matchweek 4,Wed,Away,L,0,1,Real Madrid,0.0,11.0,5.0,45.5,0.0,0.0,20.0,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Valladolid
1952,2020-10-03,13:00,La Liga,Matchweek 5,Sat,Home,L,1,2,Eibar,1.0,7.0,2.0,28.6,0.14,0.5,20.6,1.0,0.0,1.0,1.2,0.4,0.06,-0.2,0.6,Valladolid
1953,2020-10-18,18:30,La Liga,Matchweek 6,Sun,Away,D,2,2,Huesca,2.0,4.0,2.0,50.0,0.25,0.5,21.3,0.0,1.0,1.0,1.0,0.2,0.05,1.0,0.8,Valladolid
1954,2020-10-25,14:00,La Liga,Matchweek 7,Sun,Home,L,0,2,Alavés,0.0,5.0,1.0,20.0,0.0,0.0,13.4,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,Valladolid
1955,2020-11-02,21:00,La Liga,Matchweek 8,Mon,Away,L,0,2,Villarreal,0.0,11.0,1.0,9.1,0.0,0.0,14.8,0.0,0.0,0.0,1.0,1.0,0.1,-1.0,-1.0,Valladolid
1956,2020-11-08,18:30,La Liga,Matchweek 9,Sun,Home,W,2,1,Athletic Club,2.0,5.0,3.0,60.0,0.2,0.33,14.4,0.0,1.0,1.0,2.3,1.6,0.32,-0.3,-0.6,Valladolid
1957,2020-11-22,18:30,La Liga,Matchweek 10,Sun,Away,W,3,1,Granada,3.0,9.0,3.0,33.3,0.33,1.0,14.9,0.0,0.0,0.0,1.4,1.4,0.16,1.6,1.6,Valladolid
1958,2020-11-27,21:00,La Liga,Matchweek 11,Fri,Home,D,1,1,Levante,1.0,9.0,4.0,44.4,0.11,0.25,18.3,1.0,0.0,0.0,1.3,1.3,0.15,-0.3,-0.3,Valladolid
1959,2020-12-05,18:30,La Liga,Matchweek 12,Sat,Away,L,0,2,Atlético Madrid,0.0,13.0,3.0,23.1,0.0,0.0,25.2,0.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Valladolid
1960,2020-12-11,21:00,La Liga,Matchweek 13,Fri,Home,W,3,2,Osasuna,3.0,10.0,5.0,50.0,0.2,0.4,13.4,0.0,1.0,1.0,1.8,1.2,0.12,1.2,0.8,Valladolid
1962,2020-12-19,21:00,La Liga,Matchweek 14,Sat,Away,D,1,1,Sevilla,1.0,12.0,5.0,41.7,0.08,0.2,20.2,2.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,Valladolid
1963,2020-12-22,22:00,La Liga,Matchweek 15,Tue,Home,L,0,3,Barcelona,0.0,12.0,5.0,41.7,0.0,0.0,19.9,3.0,0.0,0.0,0.7,0.7,0.06,-0.7,-0.7,Valladolid
1964,2020-12-29,21:30,La Liga,Matchweek 16,Tue,Away,D,0,0,Cádiz,0.0,7.0,1.0,14.3,0.0,0.0,14.8,0.0,0.0,0.0,0.5,0.5,0.07,-0.5,-0.5,Valladolid
1965,2021-01-02,18:30,La Liga,Matchweek 17,Sat,Away,W,1,0,Getafe,1.0,9.0,2.0,22.2,0.11,0.5,18.1,1.0,0.0,0.0,1.0,1.0,0.11,0.0,0.0,Valladolid
1967,2021-01-10,21:00,La Liga,Matchweek 18,Sun,Home,L,0,1,Valencia,0.0,11.0,4.0,36.4,0.0,0.0,17.2,2.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Valladolid
1969,2021-01-19,19:00,La Liga,Matchweek 19,Tue,Home,D,2,2,Elche,2.0,13.0,2.0,15.4,0.15,1.0,20.5,2.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,Valladolid
1970,2021-01-22,21:00,La Liga,Matchweek 20,Fri,Away,D,2,2,Levante,2.0,7.0,3.0,42.9,0.29,0.67,21.0,1.0,0.0,0.0,0.7,0.7,0.1,1.3,1.3,Valladolid
1972,2021-01-29,21:00,La Liga,Matchweek 21,Fri,Home,L,1,3,Huesca,1.0,14.0,4.0,28.6,0.07,0.25,17.0,1.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4,Valladolid
1973,2021-02-05,21:00,La Liga,Matchweek 22,Fri,Away,L,0,1,Alavés,0.0,3.0,1.0,33.3,0.0,0.0,22.4,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1,Valladolid
1974,2021-02-13,18:30,La Liga,Matchweek 23,Sat,Away,D,1,1,Eibar,1.0,4.0,0.0,0.0,0.0,,17.5,0.0,1.0,1.0,1.0,0.2,0.06,0.0,-0.2,Valladolid
1975,2021-02-20,21:00,La Liga,Matchweek 24,Sat,Home,L,0,1,Real Madrid,0.0,9.0,5.0,55.6,0.0,0.0,20.6,0.0,0.0,0.0,0.9,0.9,0.11,-0.9,-0.9,Valladolid
1976,2021-02-28,14:00,La Liga,Matchweek 25,Sun,Away,D,1,1,Celta Vigo,1.0,7.0,3.0,42.9,0.14,0.33,17.1,0.0,0.0,0.0,1.1,1.1,0.16,-0.1,-0.1,Valladolid
1977,2021-03-06,14:00,La Liga,Matchweek 26,Sat,Home,W,2,1,Getafe,2.0,4.0,3.0,75.0,0.5,0.67,13.1,0.0,0.0,0.0,0.9,0.9,0.23,1.1,1.1,Valladolid
1978,2021-03-13,18:30,La Liga,Matchweek 27,Sat,Away,D,0,0,Osasuna,0.0,12.0,2.0,16.7,0.0,0.0,18.5,0.0,0.0,0.0,1.5,1.5,0.13,-1.5,-1.5,Valladolid
1979,2021-03-20,21:00,La Liga,Matchweek 28,Sat,Home,D,1,1,Sevilla,1.0,2.0,1.0,50.0,0.0,0.0,19.6,0.0,1.0,1.0,0.9,0.1,0.06,0.1,-0.1,Valladolid
1980,2021-04-05,21:00,La Liga,Matchweek 29,Mon,Away,L,0,1,Barcelona,0.0,7.0,2.0,28.6,0.0,0.0,21.5,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Valladolid
1981,2021-04-11,18:30,La Liga,Matchweek 30,Sun,Home,L,1,2,Granada,1.0,6.0,2.0,33.3,0.0,0.0,13.4,0.0,1.0,1.0,1.1,0.4,0.06,-0.1,-0.4,Valladolid
1982,2021-04-21,21:00,La Liga,Matchweek 31,Wed,Away,D,1,1,Elche,1.0,13.0,4.0,30.8,0.08,0.25,16.9,2.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Valladolid
1983,2021-04-24,16:15,La Liga,Matchweek 32,Sat,Home,D,1,1,Cádiz,1.0,13.0,6.0,46.2,0.08,0.17,13.5,0.0,0.0,0.0,1.8,1.8,0.14,-0.8,-0.8,Valladolid
1984,2021-04-28,19:00,La Liga,Matchweek 33,Wed,Away,D,2,2,Athletic Club,2.0,14.0,4.0,28.6,0.14,0.5,18.6,0.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,Valladolid
1985,2021-05-02,14:00,La Liga,Matchweek 34,Sun,Home,D,1,1,Betis,1.0,10.0,2.0,20.0,0.1,0.5,21.7,2.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,Valladolid
1986,2021-05-09,16:15,La Liga,Matchweek 35,Sun,Away,L,0,3,Valencia,0.0,20.0,2.0,10.0,0.0,0.0,19.7,3.0,0.0,0.0,1.1,1.1,0.05,-1.1,-1.1,Valladolid
1987,2021-05-13,19:00,La Liga,Matchweek 36,Thu,Home,L,0,2,Villarreal,0.0,11.0,2.0,18.2,0.0,0.0,15.5,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,Valladolid
1988,2021-05-16,18:30,La Liga,Matchweek 37,Sun,Away,L,1,4,Real Sociedad,1.0,19.0,5.0,26.3,0.05,0.2,15.9,0.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7,Valladolid
1989,2021-05-22,18:00,La Liga,Matchweek 38,Sat,Home,L,1,2,Atlético Madrid,1.0,10.0,4.0,40.0,0.1,0.25,19.7,0.0,0.0,0.0,0.9,0.9,0.09,0.1,0.1,Valladolid
1990,2020-09-12,16:00,La Liga,Matchweek 1,Sat,Home,D,0,0,Celta Vigo,0.0,8.0,1.0,12.5,0.0,0.0,22.0,1.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Eibar
1991,2020-09-19,16:00,La Liga,Matchweek 2,Sat,Away,L,1,2,Villarreal,1.0,12.0,4.0,33.3,0.08,0.25,17.5,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,Eibar
1992,2020-09-27,14:00,La Liga,Matchweek 3,Sun,Home,L,1,2,Athletic Club,1.0,7.0,1.0,14.3,0.14,1.0,17.4,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,Eibar
1993,2020-09-30,21:30,La Liga,Matchweek 4,Wed,Home,L,0,1,Elche,0.0,12.0,5.0,41.7,0.0,0.0,20.9,1.0,0.0,1.0,1.1,0.5,0.04,-1.1,-0.5,Eibar
1994,2020-10-03,13:00,La Liga,Matchweek 5,Sat,Away,W,2,1,Valladolid,2.0,10.0,4.0,40.0,0.1,0.25,20.1,1.0,1.0,1.0,1.3,0.5,0.05,0.7,0.5,Eibar
1995,2020-10-18,12:00,La Liga,Matchweek 6,Sun,Home,D,0,0,Osasuna,0.0,10.0,6.0,60.0,0.0,0.0,21.6,1.0,0.0,0.0,0.3,0.3,0.03,-0.3,-0.3,Eibar
1996,2020-10-24,18:30,La Liga,Matchweek 7,Sat,Away,W,1,0,Sevilla,1.0,3.0,1.0,33.3,0.33,1.0,19.5,0.0,0.0,0.0,0.4,0.4,0.15,0.6,0.6,Eibar
1997,2020-10-30,21:00,La Liga,Matchweek 8,Fri,Home,L,0,2,Cádiz,0.0,9.0,3.0,33.3,0.0,0.0,16.8,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Eibar
1998,2020-11-07,14:00,La Liga,Matchweek 9,Sat,Away,D,1,1,Huesca,1.0,8.0,3.0,37.5,0.13,0.33,21.7,0.0,0.0,0.0,0.8,0.8,0.1,0.2,0.2,Eibar
1999,2020-11-22,14:00,La Liga,Matchweek 10,Sun,Home,D,0,0,Getafe,0.0,14.0,4.0,28.6,0.0,0.0,18.7,0.0,0.0,0.0,1.8,1.8,0.15,-1.8,-1.8,Eibar
2000,2020-11-30,21:00,La Liga,Matchweek 11,Mon,Away,W,2,0,Betis,2.0,9.0,4.0,44.4,0.11,0.25,24.1,0.0,1.0,2.0,2.6,1.1,0.13,-0.6,-0.1,Eibar
2001,2020-12-07,21:00,La Liga,Matchweek 12,Mon,Home,D,0,0,Valencia,0.0,19.0,3.0,15.8,0.0,0.0,14.7,0.0,0.0,0.0,1.3,1.3,0.07,-1.3,-1.3,Eibar
2002,2020-12-13,14:00,La Liga,Matchweek 13,Sun,Away,D,1,1,Real Sociedad,1.0,16.0,4.0,25.0,0.06,0.25,17.9,1.0,0.0,0.0,1.2,1.2,0.08,-0.2,-0.2,Eibar
2004,2020-12-20,21:00,La Liga,Matchweek 14,Sun,Home,L,1,3,Real Madrid,1.0,10.0,3.0,30.0,0.1,0.33,21.4,1.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,Eibar
2005,2020-12-23,22:00,La Liga,Matchweek 15,Wed,Away,L,1,2,Alavés,1.0,8.0,4.0,50.0,0.13,0.25,18.1,0.0,0.0,0.0,0.6,0.6,0.07,0.4,0.4,Eibar
2006,2020-12-29,19:15,La Liga,Matchweek 16,Tue,Away,D,1,1,Barcelona,1.0,9.0,3.0,33.3,0.11,0.33,23.0,1.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,Eibar
2007,2021-01-03,18:30,La Liga,Matchweek 17,Sun,Home,W,2,0,Granada,2.0,14.0,6.0,42.9,0.14,0.33,19.2,0.0,0.0,1.0,1.9,1.1,0.08,0.1,0.9,Eibar
2009,2021-01-10,14:00,La Liga,Matchweek 18,Sun,Away,L,1,2,Levante,1.0,17.0,4.0,23.5,0.06,0.25,14.9,0.0,0.0,0.0,1.5,1.5,0.09,-0.5,-0.5,Eibar
2011,2021-01-21,21:30,La Liga,Matchweek 19,Thu,Home,L,1,2,Atlético Madrid,1.0,11.0,2.0,18.2,0.0,0.0,20.6,1.0,1.0,1.0,1.6,0.9,0.08,-0.6,-0.9,Eibar
2012,2021-01-24,18:30,La Liga,Matchweek 20,Sun,Away,D,1,1,Celta Vigo,1.0,8.0,2.0,25.0,0.13,0.5,16.9,1.0,0.0,0.0,0.7,0.7,0.09,0.3,0.3,Eibar
2013,2021-01-30,14:00,La Liga,Matchweek 21,Sat,Home,L,0,2,Sevilla,0.0,17.0,6.0,35.3,0.0,0.0,19.2,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,Eibar
2014,2021-02-07,18:30,La Liga,Matchweek 22,Sun,Away,L,1,2,Osasuna,1.0,12.0,2.0,16.7,0.08,0.5,16.2,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Eibar
2015,2021-02-13,18:30,La Liga,Matchweek 23,Sat,Home,D,1,1,Valladolid,1.0,14.0,2.0,14.3,0.07,0.5,11.3,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4,Eibar
2016,2021-02-20,14:00,La Liga,Matchweek 24,Sat,Away,L,0,1,Elche,0.0,13.0,4.0,30.8,0.0,0.0,13.1,0.0,0.0,0.0,1.3,1.3,0.1,-1.3,-1.3,Eibar
2017,2021-02-27,14:00,La Liga,Matchweek 25,Sat,Home,D,1,1,Huesca,1.0,17.0,3.0,17.6,0.06,0.33,15.6,1.0,0.0,0.0,1.7,1.7,0.1,-0.7,-0.7,Eibar
2018,2021-03-06,18:30,La Liga,Matchweek 26,Sat,Away,L,0,1,Cádiz,0.0,14.0,0.0,0.0,0.0,,17.7,0.0,0.0,1.0,1.7,1.0,0.07,-1.7,-1.0,Eibar
2019,2021-03-14,18:30,La Liga,Matchweek 27,Sun,Home,L,1,3,Villarreal,1.0,16.0,7.0,43.8,0.06,0.14,18.2,0.0,0.0,1.0,1.9,1.1,0.07,-0.9,-0.1,Eibar
2020,2021-03-20,14:00,La Liga,Matchweek 28,Sat,Away,D,1,1,Athletic Club,1.0,5.0,3.0,60.0,0.2,0.33,12.5,0.0,0.0,0.0,0.6,0.6,0.12,0.4,0.4,Eibar
2021,2021-04-03,16:15,La Liga,Matchweek 29,Sat,Away,L,0,2,Real Madrid,0.0,10.0,4.0,40.0,0.0,0.0,26.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Eibar
